DATE_TIME,AC_POWER_TOTAL
2020-05-15 00:00:00,0.0
2020-05-15 00:15:00,0.0
2020-05-15 00:30:00,0.0
2020-05-15 00:45:00,0.0
2020-05-15 01:00:00,0.0
2020-05-15 01:15:00,0.0
2020-05-15 01:30:00,0.0
2020-05-15 01:45:00,0.0
2020-05-15 02:00:00,0.0
2020-05-15 02:15:00,0.0
2020-05-15 02:30:00,0.0
2020-05-15 02:45:00,0.0
2020-05-15 03:00:00,0.0
2020-05-15 03:15:00,0.0
2020-05-15 03:30:00,0.0
2020-05-15 03:45:00,0.0
2020-05-15 04:00:00,0.0
2020-05-15 04:15:00,0.0
2020-05-15 04:30:00,0.0
2020-05-15 04:45:00,0.0
2020-05-15 05:00:00,0.0
2020-05-15 05:15:00,0.0
2020-05-15 05:30:00,0.0
2020-05-15 05:45:00,0.0
2020-05-15 06:00:00,320.43333333333334
2020-05-15 06:15:00,566.977619047619
2020-05-15 06:30:00,1243.5561904761905
2020-05-15 06:45:00,3373.6585714285716
2020-05-15 07:00:00,6614.38
2020-05-15 07:15:00,8234.446666666667
2020-05-15 07:30:00,9919.995238095238
2020-05-15 07:45:00,11813.325714285715
2020-05-15 08:00:00,12132.810476190476
2020-05-15 08:15:00,13784.546666666667
2020-05-15 08:30:00,15718.433333333332
2020-05-15 08:45:00,17399.511428571426
2020-05-15 09:00:00,18295.993333333332
2020-05-15 09:15:00,19754.621904761905
2020-05-15 09:30:00,19552.76761904762
2020-05-15 09:45:00,18627.731904761906
2020-05-15 10:00:00,18142.809523809523
2020-05-15 10:15:00,17041.513333333332
2020-05-15 10:30:00,17622.486666666668
2020-05-15 10:45:00,18217.238095238095
2020-05-15 11:00:00,17528.37714285714
2020-05-15 11:15:00,17313.777619047618
2020-05-15 11:30:00,17559.64
2020-05-15 11:45:00,16633.173333333332
2020-05-15 12:00:00,16544.794761904763
2020-05-15 12:15:00,17558.46476190476
2020-05-15 12:30:00,17220.08619047619
2020-05-15 12:45:00,17147.06
2020-05-15 13:00:00,17397.133333333335
2020-05-15 13:15:00,17331.82238095238
2020-05-15 13:30:00,18226.817142857144
2020-05-15 13:45:00,17310.55904761905
2020-05-15 14:00:00,17806.1
2020-05-15 14:15:00,18327.02
2020-05-15 14:30:00,16642.04095238095
2020-05-15 14:45:00,17867.47238095238
2020-05-15 15:00:00,19638.640476190474
2020-05-15 15:15:00,18720.18
2020-05-15 15:30:00,13755.333333333334
2020-05-15 15:45:00,15524.318571428572
2020-05-15 16:00:00,13895.899047619047
2020-05-15 16:15:00,10206.89380952381
2020-05-15 16:30:00,9140.826666666666
2020-05-15 16:45:00,9553.453333333333
2020-05-15 17:00:00,6274.262380952381
2020-05-15 17:15:00,4184.69619047619
2020-05-15 17:30:00,2033.4999999999998
2020-05-15 17:45:00,819.44
2020-05-15 18:00:00,526.5133333333333
2020-05-15 18:15:00,322.3
2020-05-15 18:30:00,49.902857142857144
2020-05-15 18:45:00,0.0
2020-05-15 19:00:00,0.0
2020-05-15 19:15:00,0.0
2020-05-15 19:30:00,0.0
2020-05-15 19:45:00,0.0
2020-05-15 20:00:00,0.0
2020-05-15 20:15:00,0.0
2020-05-15 20:30:00,0.0
2020-05-15 20:45:00,0.0
2020-05-15 21:00:00,0.0
2020-05-15 21:15:00,0.0
2020-05-15 21:30:00,0.0
2020-05-15 21:45:00,0.0
2020-05-15 22:00:00,0.0
2020-05-15 22:15:00,0.0
2020-05-15 22:30:00,0.0
2020-05-15 22:45:00,0.0
2020-05-15 23:00:00,0.0
2020-05-15 23:15:00,0.0
2020-05-15 23:30:00,0.0
2020-05-15 23:45:00,0.0
2020-05-16 00:00:00,0.0
2020-05-16 00:15:00,0.0
2020-05-16 00:30:00,0.0
2020-05-16 00:45:00,0.0
2020-05-16 01:00:00,0.0
2020-05-16 01:15:00,0.0
2020-05-16 01:30:00,0.0
2020-05-16 01:45:00,0.0
2020-05-16 02:00:00,0.0
2020-05-16 02:15:00,0.0
2020-05-16 02:30:00,0.0
2020-05-16 02:45:00,0.0
2020-05-16 03:00:00,0.0
2020-05-16 03:15:00,0.0
2020-05-16 03:30:00,0.0
2020-05-16 03:45:00,0.0
2020-05-16 04:00:00,0.0
2020-05-16 04:15:00,0.0
2020-05-16 04:30:00,0.0
2020-05-16 04:45:00,0.0
2020-05-16 05:00:00,0.0
2020-05-16 05:15:00,0.0
2020-05-16 05:30:00,0.0
2020-05-16 05:45:00,0.0
2020-05-16 06:00:00,302.6719047619048
2020-05-16 06:15:00,998.9066666666666
2020-05-16 06:30:00,1836.4485714285713
2020-05-16 06:45:00,2715.6866666666665
2020-05-16 07:00:00,3625.84380952381
2020-05-16 07:15:00,5433.604761904762
2020-05-16 07:30:00,8408.233333333334
2020-05-16 07:45:00,8324.602380952381
2020-05-16 08:00:00,11720.873333333333
2020-05-16 08:15:00,13420.211904761905
2020-05-16 08:30:00,15192.791428571429
